"","X1","Hour","NightDay"
"COPEPODS_01","COPEPODS_01",22,"Night"
"COPEPODS_05","COPEPODS_05",22,"Night"
"COPEPODS_06","COPEPODS_06",22,"Night"
"COPEPODS_07","COPEPODS_07",2,"Night"
"COPEPODS_08","COPEPODS_08",22,"Night"
"COPEPODS_09","COPEPODS_09",22,"Night"
"COPEPODS_10","COPEPODS_10",22,"Night"
"COPEPODS_11","COPEPODS_11",15,"Day"
"COPEPODS_12","COPEPODS_12",9,"Day"
"COPEPODS_14","COPEPODS_14",9,"Day"
"COPEPODS_15","COPEPODS_15",22,"Night"
"COPEPODS_16","COPEPODS_16",22,"Night"
"COPEPODS_17","COPEPODS_17",9,"Day"
"COPEPODS_18","COPEPODS_18",2,"Night"
"COPEPODS_19","COPEPODS_19",22,"Night"
"COPEPODS_20","COPEPODS_20",15,"Day"
"COPEPODS_21","COPEPODS_21",2,"Night"
"COPEPODS_22","COPEPODS_22",22,"Night"
"COPEPODS_23","COPEPODS_23",22,"Night"
"COPEPODS_24","COPEPODS_24",22,"Night"
"COPEPODS_25","COPEPODS_25",22,"Night"
"COPEPODS_26","COPEPODS_26",2,"Night"
"COPEPODS_27","COPEPODS_27",22,"Night"
"COPEPODS_28","COPEPODS_28",2,"Night"
"COPEPODS_29","COPEPODS_29",9,"Day"
"COPEPODS_30","COPEPODS_30",15,"Day"
"COPEPODS_31","COPEPODS_31",9,"Day"
"COPEPODS_32","COPEPODS_32",22,"Night"
"COPEPODS_33","COPEPODS_33",2,"Night"
"COPEPODS_34","COPEPODS_34",15,"Day"
"COPEPODS_35","COPEPODS_35",2,"Night"
"COPEPODS_36","COPEPODS_36",9,"Day"
"COPEPODS_37","COPEPODS_37",22,"Night"
"COPEPODS_38","COPEPODS_38",9,"Day"
"COPEPODS_39","COPEPODS_39",15,"Day"
"COPEPODS_40","COPEPODS_40",9,"Day"
"COPEPODS_41","COPEPODS_41",15,"Day"
"COPEPODS_42","COPEPODS_42",9,"Day"
"COPEPODS_43","COPEPODS_43",2,"Night"
"COPEPODS_44","COPEPODS_44",15,"Day"
"COPEPODS_45","COPEPODS_45",15,"Day"
"COPEPODS_46","COPEPODS_46",22,"Night"
"COPEPODS_47","COPEPODS_47",22,"Night"
"COPEPODS_48","COPEPODS_48",15,"Day"
"COPEPODS_49","COPEPODS_49",9,"Day"
"COPEPODS_50","COPEPODS_50",2,"Night"
"COPEPODS_51","COPEPODS_51",2,"Night"
"COPEPODS_52","COPEPODS_52",9,"Day"
"COPEPODS_53","COPEPODS_53",22,"Night"
"COPEPODS_54","COPEPODS_54",2,"Night"
"COPEPODS_55","COPEPODS_55",22,"Night"
"COPEPODS_56","COPEPODS_56",22,"Night"
"COPEPODS_57","COPEPODS_57",22,"Night"
"COPEPODS_58","COPEPODS_58",22,"Night"
"COPEPODS_59","COPEPODS_59",9,"Day"
"COPEPODS_60","COPEPODS_60",15,"Day"
"COPEPODS_61","COPEPODS_61",22,"Night"
